Score,Date
336,2024-07-07
452,2024-07-07
465,2024-07-07
509,2024-07-07
497,2024-07-07
505,2024-07-07
447,2024-07-07
558,2024-07-07
670,2024-07-07
449,2024-07-07
867,2024-07-07
600,2024-07-08
1130,2024-07-08
1705,2024-07-08
1640,2024-07-08
990,2024-07-08
484,2024-07-08
1414,2024-07-08
143,2024-07-08
276,2024-07-10
1507,2024-07-10
1283,2024-07-10
309,2024-07-10
930,2024-07-10
635,2024-07-10
549,2024-07-10
551,2024-07-10
325,2024-07-10
1164,2024-07-10
180,2024-07-10
538,2024-07-10
794,2024-07-10
294,2024-07-10
1239,2024-07-10
902,2024-07-10
370,2024-07-10
314,2024-07-10
911,2024-07-10
527,2024-07-10
233,2024-07-10
569,2024-07-10
1728,2024-07-10
1931,2024-07-10
796,2024-07-10
239,2024-07-10
256,2024-07-10
306,2024-07-10
822,2024-07-10
623,2024-07-10
1833,2024-07-10
828,2024-07-10
1833,2024-07-10
1050,2024-07-11
527,2024-07-11
196,2024-07-13
648,2024-07-13
209,2024-07-13
1133,2024-07-13
